"","Bias","Variance","Theoretical_Bias","Theoretical_RMSE","Estimate_Bias","Estimate_RMSE","Theoretical_sd","Theoretical_var","Estimate_sd","Estimate_var"
"1","Low","Low",0,0.0883883476483184,0.00401530622127241,0.086786291844512,0.0884,0.0078,0.0866933548091791,0.00751573776807021
"2","Low","Med-Low",0,0.176776695296637,0.00803061244254482,0.173572583689024,0.1768,0.0313,0.173386709618358,0.0300629510722809
"3","Low","Med-High",0,0.353553390593274,0.0160612248850896,0.347145167378048,0.3536,0.125,0.346773419236716,0.120251804289123
"4","Low","High",0,0.707106781186548,0.0321224497701793,0.694290334756096,0.7071,0.5,0.693546838473433,0.481007217156494
"5","Med-Low","Low",0.282842712474619,0.296331739778243,0.280438925608544,0.293533181709572,0.0884,0.0078,0.086693354809179,0.0075157377680702
"6","Med-Low","Med-Low",0.282842712474619,0.333541601603158,0.27807234195628,0.327699829773119,0.1768,0.0312,0.173386709618358,0.0300629510722809
"7","Med-Low","Med-High",0.282842712474619,0.452769256906871,0.27345463279035,0.441621150403407,0.3536,0.125,0.346773419236716,0.120251804289123
"8","Med-Low","High",0.282842712474619,0.761577310586391,0.264708893463421,0.742346290780201,0.7071,0.5,0.693546838473433,0.481007217156494
"9","Med-High","Low",0.565685424949238,0.572549124529939,0.563272455663241,0.569904901783595,0.0884,0.0078,0.0866933548091789,0.00751573776807019
"10","Med-High","Med-Low",0.565685424949238,0.592663479556485,0.560877851217088,0.587066363419144,0.1768,0.0312,0.173386709618358,0.0300629510722808
"11","Med-High","Med-High",0.565685424949238,0.667083203206317,0.556144683912559,0.655399659546237,0.3536,0.125,0.346773419236716,0.120251804289123
"12","Med-High","High",0.565685424949238,0.905538513813742,0.546909265580699,0.883242300806813,0.7071,0.5,0.693546838473433,0.481007217156494
"13","High","Low",0.848528137423857,0.853119276537578,0.846112124733668,0.85054186574759,0.0884,0.0078,0.0866933548091792,0.00751573776807024
"14","High","Med-Low",0.848528137423857,0.866746791167986,0.843708303035324,0.861340032555684,0.1768,0.0312,0.173386709618358,0.030062951072281
"15","High","Med-High",0.848528137423857,0.919238815542512,0.838937651255381,0.907782015124236,0.3536,0.125,0.346773419236716,0.120251804289124
"16","High","High",0.848528137423857,1.10453610171873,0.829547280917375,1.08127513077565,0.7071,0.5,0.693546838473433,0.481007217156494
