"method","bias","rmse","coverage"
"RDD",0.294188672654161,22.9274121953081,5.54108216432866
"RDD_half_bw",0.0147290295307245,30.943334548722,4.68937875751503
"RDD_double_bw",1.8887695931558,17.4668271717623,5.50100200400801
"OLS",26.6915423677495,28.6272649538526,72.1342685370741
"Forest_ATE",14.3745678322868,22.5701680344732,18.9478957915832
"Forest_ATT",14.6139728132623,25.1428774826042,15.4709418837675
"Forest_overlap",13.4272932468978,15.961830084167,34.5991983967936
"Forest_close_ATE",7.50395218320385,27.2095992491566,2.95591182364729
"Forest_close_ATT",8.09365763187355,22.3229451070369,5.56112224448898
"Forest_close_overlap",8.39810598743889,12.8313364213083,15.2204408817635
"Forest_very_close_ATE",1.61814952528117,44.789857121462,1.33266533066132
"Forest_very_close_ATT",4.01259219741712,25.7411672043833,3.27655310621242
"Forest_very_close_overlap",4.61438261231257,12.7515557876155,6.9939879759519
"McCrary",NA,NA,6.05210420841683
